sex,age_group,year,population
Бүгд,Бүгд,1956,845481
Бүгд,Бүгд,1963,1017158
Бүгд,Бүгд,1969,1197595
Бүгд,Бүгд,1979,1595006
Бүгд,Бүгд,1989,2043954
Бүгд,Бүгд,1990,2153466
Бүгд,Бүгд,1991,2177217
Бүгд,Бүгд,1992,2158362
Бүгд,Бүгд,1993,2171898
Бүгд,Бүгд,1994,2206892
Бүгд,Бүгд,1995,2242998
Бүгд,Бүгд,1996,2276016
Бүгд,Бүгд,1997,2307484
Бүгд,Бүгд,1998,2340134
Бүгд,Бүгд,1999,2373493
Бүгд,Бүгд,2000,2403105
Бүгд,Бүгд,2001,2432397
Бүгд,Бүгд,2002,2465657
Бүгд,Бүгд,2003,2495091
Бүгд,Бүгд,2004,2521733
Бүгд,Бүгд,2005,2551081
Бүгд,Бүгд,2006,2583254
Бүгд,Бүгд,2007,2620446
Бүгд,Бүгд,2008,2665955
Бүгд,Бүгд,2009,2716275
Бүгд,Бүгд,2010,2760968
Бүгд,Бүгд,2011,2811666
Бүгд,Бүгд,2012,2867744
Бүгд,Бүгд,2013,2930277
Бүгд,Бүгд,2014,2995949
Бүгд,Бүгд,2015,3057778
Бүгд,Бүгд,2016,3119935
Бүгд,Бүгд,2017,3177899
Бүгд,Бүгд,2018,3238479
Бүгд,Бүгд,2019,3296866
Бүгд,Бүгд,2020,3367257
Бүгд,Бүгд,2021,3419654
Бүгд,Бүгд,2022,3467263
Бүгд,Бүгд,2023,3514456
Бүгд,Бүгд,2024,3554550
Бүгд,Бүгд,2025,3591120
Бүгд,0-4,1956,106601
Бүгд,0-4,1963,170389
Бүгд,0-4,1969,199012
Бүгд,0-4,1979,263534
Бүгд,0-4,1989,324856
Бүгд,0-4,1990,340633
Бүгд,0-4,1991,335026
Бүгд,0-4,1992,318770
Бүгд,0-4,1993,293792
Бүгд,0-4,1994,275666
Бүгд,0-4,1995,260200
Бүгд,0-4,1996,245148
Бүгд,0-4,1997,233844
Бүгд,0-4,1998,236701
Бүгд,0-4,1999,246023
Бүгд,0-4,2000,230273
Бүгд,0-4,2001,228703
Бүгд,0-4,2002,227994
Бүгд,0-4,2003,230716
Бүгд,0-4,2004,233180
Бүгд,0-4,2005,235893
Бүгд,0-4,2006,216960
Бүгд,0-4,2007,232963
Бүгд,0-4,2008,247698
Бүгд,0-4,2009,263186
Бүгд,0-4,2010,276321
Бүгд,0-4,2011,288129
Бүгд,0-4,2012,305258
Бүгд,0-4,2013,319422
Бүгд,0-4,2014,345968
Бүгд,0-4,2015,386866
Бүгд,0-4,2016,394514
Бүгд,0-4,2017,393984
Бүгд,0-4,2018,391125
Бүгд,0-4,2019,385681
Бүгд,0-4,2020,383719
Бүгд,0-4,2021,377193
Бүгд,0-4,2022,367484
Бүгд,0-4,2023,354313
Бүгд,0-4,2024,340277
Бүгд,0-4,2025,320061
Бүгд,5-9,1956,88919
Бүгд,5-9,1963,139124
Бүгд,5-9,1969,194303
Бүгд,5-9,1979,234986
Бүгд,5-9,1989,275179
Бүгд,5-9,1990,291335
Бүгд,5-9,1991,298627
Бүгд,5-9,1992,299441
Бүгд,5-9,1993,308809
Бүгд,5-9,1994,314084
Бүгд,5-9,1995,318226
Бүгд,5-9,1996,317828
Бүгд,5-9,1997,311920
Бүгд,5-9,1998,289751
Бүгд,5-9,1999,285664
Бүгд,5-9,2000,267504
Бүгд,5-9,2001,255618
Бүгд,5-9,2002,264648
Бүгд,5-9,2003,267807
Бүгд,5-9,2004,270667
Бүгд,5-9,2005,273818
Бүгд,5-9,2006,243465
Бүгд,5-9,2007,246879
Бүгд,5-9,2008,240358
Бүгд,5-9,2009,233139
Бүгд,5-9,2010,228193
Бүгд,5-9,2011,222256
Бүгд,5-9,2012,231805
Бүгд,5-9,2013,248674
Бүгд,5-9,2014,271346
Бүгд,5-9,2015,298808
Бүгд,5-9,2016,322575
Бүгд,5-9,2017,341311
Бүгд,5-9,2018,358379
Бүгд,5-9,2019,373012
Бүгд,5-9,2020,390116
Бүгд,5-9,2021,397461
Бүгд,5-9,2022,397687
Бүгд,5-9,2023,395617
Бүгд,5-9,2024,386370
Бүгд,5-9,2025,389790
Бүгд,10-14,1956,61387
Бүгд,10-14,1963,87283
Бүгд,10-14,1969,139050
Бүгд,10-14,1979,207713
Бүгд,10-14,1989,255646
Бүгд,10-14,1990,260968
Бүгд,10-14,1991,261280
Бүгд,10-14,1992,258612
Бүгд,10-14,1993,259277
Бүгд,10-14,1994,266867
Бүгд,10-14,1995,275060
Бүгд,10-14,1996,285685
Бүгд,10-14,1997,294987
Бүгд,10-14,1998,306484
Бүгд,10-14,1999,317434
Бүгд,10-14,2000,314253
Бүгд,10-14,2001,311938
Бүгд,10-14,2002,312107
Бүгд,10-14,2003,315837
Бүгд,10-14,2004,319207
Бүгд,10-14,2005,322924
Бүгд,10-14,2006,276262
Бүгд,10-14,2007,269186
Бүгд,10-14,2008,262156
Бүгд,10-14,2009,253856
Бүгд,10-14,2010,248224
Бүгд,10-14,2011,237733
Бүгд,10-14,2012,237751
Бүгд,10-14,2013,234216
Бүгд,10-14,2014,224132
Бүгд,10-14,2015,219332
Бүгд,10-14,2016,220429
Бүгд,10-14,2017,232601
Бүгд,10-14,2018,252548
Бүгд,10-14,2019,279299
Бүгд,10-14,2020,301137
Бүгд,10-14,2021,325134
Бүгд,10-14,2022,343762
Бүгд,10-14,2023,360503
Бүгд,10-14,2024,373609
Бүгд,10-14,2025,388706
Бүгд,15-19,1956,75685
Бүгд,15-19,1963,70888
Бүгд,15-19,1969,91157
Бүгд,15-19,1979,184416
Бүгд,15-19,1989,221580
Бүгд,15-19,1990,237545
Бүгд,15-19,1991,242429
Бүгд,15-19,1992,238775
Бүгд,15-19,1993,241210
Бүгд,15-19,1994,241367
Бүгд,15-19,1995,246021
Бүгд,15-19,1996,249583
Бүгд,15-19,1997,254509
Бүгд,15-19,1998,257144
Бүгд,15-19,1999,263358
Бүгд,15-19,2000,276123
Бүгд,15-19,2001,282865
Бүгд,15-19,2002,288606
Бүгд,15-19,2003,292054
Бүгд,15-19,2004,295168
Бүгд,15-19,2005,298606
Бүгд,15-19,2006,307890
Бүгд,15-19,2007,306703
Бүгд,15-19,2008,297965
Бүгд,15-19,2009,286918
Бүгд,15-19,2010,275828
Бүгд,15-19,2011,260952
Бүгд,15-19,2012,252710
Бүгд,15-19,2013,253439
Бүгд,15-19,2014,244337
Бүгд,15-19,2015,239910
Бүгд,15-19,2016,236400
Бүгд,15-19,2017,233001
Бүгд,15-19,2018,228402
Бүгд,15-19,2019,223078
Бүгд,15-19,2020,221174
Бүгд,15-19,2021,222552
Бүгд,15-19,2022,235243
Бүгд,15-19,2023,255345
Бүгд,15-19,2024,280404
Бүгд,15-19,2025,299213
Бүгд,20-24,1956,68976
Бүгд,20-24,1963,72017
Бүгд,20-24,1969,70079
Бүгд,20-24,1979,130104
Бүгд,20-24,1989,196052
Бүгд,20-24,1990,209207
Бүгд,20-24,1991,208563
Бүгд,20-24,1992,208490
Бүгд,20-24,1993,212493
Бүгд,20-24,1994,222876
Бүгд,20-24,1995,225858
Бүгд,20-24,1996,232535
Бүгд,20-24,1997,234998
Бүгд,20-24,1998,238412
Бүгд,20-24,1999,235751
Бүгд,20-24,2000,248994
Бүгд,20-24,2001,255334
Бүгд,20-24,2002,262002
Бүгд,20-24,2003,265130
Бүгд,20-24,2004,267961
Бүгд,20-24,2005,271080
Бүгд,20-24,2006,257726
Бүгд,20-24,2007,265674
Бүгд,20-24,2008,280924
Бүгд,20-24,2009,296937
Бүгд,20-24,2010,305891
Бүгд,20-24,2011,315540
Бүгд,20-24,2012,309393
Бүгд,20-24,2013,298383
Бүгд,20-24,2014,278214
Бүгд,20-24,2015,267844
Бүгд,20-24,2016,255144
Бүгд,20-24,2017,244980
Бүгд,20-24,2018,244971
Бүгд,20-24,2019,239604
Бүгд,20-24,2020,237479
Бүгд,20-24,2021,234660
Бүгд,20-24,2022,232034
Бүгд,20-24,2023,228318
Бүгд,20-24,2024,223723
Бүгд,20-24,2025,218774
Бүгд,25-29,1956,63947
Бүгд,25-29,1963,70688
Бүгд,25-29,1969,77960
Бүгд,25-29,1979,92611
Бүгд,25-29,1989,179543
Бүгд,25-29,1990,186973
Бүгд,25-29,1991,191321
Бүгд,25-29,1992,186938
Бүгд,25-29,1993,188793
Бүгд,25-29,1994,193488
Бүгд,25-29,1995,200382
Бүгд,25-29,1996,202258
Бүгд,25-29,1997,207981
Бүгд,25-29,1998,213505
Бүгд,25-29,1999,216652
Бүгд,25-29,2000,219423
Бүгд,25-29,2001,224839
Бүгд,25-29,2002,227669
Бүгд,25-29,2003,230389
Бүгд,25-29,2004,232848
Бүгд,25-29,2005,235558
Бүгд,25-29,2006,224551
Бүгд,25-29,2007,231123
Бүгд,25-29,2008,238304
Бүгд,25-29,2009,249737
Бүгд,25-29,2010,260640
Бүгд,25-29,2011,280465
Бүгд,25-29,2012,287776
Бүгд,25-29,2013,298203
Бүгд,25-29,2014,305778
Бүгд,25-29,2015,313709
Бүгд,25-29,2016,314540
Бүгд,25-29,2017,310730
Бүгд,25-29,2018,294550
Бүгд,25-29,2019,277392
Бүгд,25-29,2020,264593
Бүгд,25-29,2021,251879
Бүгд,25-29,2022,242022
Бүгд,25-29,2023,241871
Бүгд,25-29,2024,238764
Бүгд,25-29,2025,235074
Бүгд,30-34,1956,58506
Бүгд,30-34,1963,64371
Бүгд,30-34,1969,64971
Бүгд,30-34,1979,77046
Бүгд,30-34,1989,135284
Бүгд,30-34,1990,153333
Бүгд,30-34,1991,156575
Бүгд,30-34,1992,162570
Бүгд,30-34,1993,168344
Бүгд,30-34,1994,179339
Бүгд,30-34,1995,179067
Бүгд,30-34,1996,185445
Бүгд,30-34,1997,186497
Бүгд,30-34,1998,189718
Бүгд,30-34,1999,187872
Бүгд,30-34,2000,190256
Бүгд,30-34,2001,192949
Бүгд,30-34,2002,195815
Бүгд,30-34,2003,198152
Бүгд,30-34,2004,200269
Бүгд,30-34,2005,202598
Бүгд,30-34,2006,211470
Бүгд,30-34,2007,215578
Бүгд,30-34,2008,220314
Бүгд,30-34,2009,229054
Бүгд,30-34,2010,234435
Бүгд,30-34,2011,248370
Бүгд,30-34,2012,252204
Бүгд,30-34,2013,255161
Бүгд,30-34,2014,257858
Бүгд,30-34,2015,263538
Бүгд,30-34,2016,273997
Бүгд,30-34,2017,283360
Бүгд,30-34,2018,295098
Бүгд,30-34,2019,304728
Бүгд,30-34,2020,310459
Бүгд,30-34,2021,311059
Бүгд,30-34,2022,306476
Бүгд,30-34,2023,290328
Бүгд,30-34,2024,275663
Бүгд,30-34,2025,261909
Бүгд,35-39,1956,56705
Бүгд,35-39,1963,57338
Бүгд,35-39,1969,64200
Бүгд,35-39,1979,76594
Бүгд,35-39,1989,92615
Бүгд,35-39,1990,96370
Бүгд,35-39,1991,107005
Бүгд,35-39,1992,111105
Бүгд,35-39,1993,120960
Бүгд,35-39,1994,130501
Бүгд,35-39,1995,144597
Бүгд,35-39,1996,150237
Бүгд,35-39,1997,161213
Бүгд,35-39,1998,168875
Бүгд,35-39,1999,172606
Бүгд,35-39,2000,172291
Бүгд,35-39,2001,176967
Бүгд,35-39,2002,178905
Бүгд,35-39,2003,181042
Бүгд,35-39,2004,182973
Бүгд,35-39,2005,185103
Бүгд,35-39,2006,190864
Бүгд,35-39,2007,193898
Бүгд,35-39,2008,197863
Бүгд,35-39,2009,206788
Бүгд,35-39,2010,212991
Бүгд,35-39,2011,225425
Бүгд,35-39,2012,228657
Бүгд,35-39,2013,233392
Бүгд,35-39,2014,233392
Бүгд,35-39,2015,232634
Бүгд,35-39,2016,236622
Бүгд,35-39,2017,241307
Бүгд,35-39,2018,244225
Бүгд,35-39,2019,251684
Бүгд,35-39,2020,260722
Бүгд,35-39,2021,271147
Бүгд,35-39,2022,280373
Бүгд,35-39,2023,291823
Бүгд,35-39,2024,301596
Бүгд,35-39,2025,305975
Бүгд,40-44,1956,47421
Бүгд,40-44,1963,47642
Бүгд,40-44,1969,50297
Бүгд,40-44,1979,64798
Бүгд,40-44,1989,70390
Бүгд,40-44,1990,73621
Бүгд,40-44,1991,73655
Бүгд,40-44,1992,76653
Бүгд,40-44,1993,79472
Бүгд,40-44,1994,86318
Бүгд,40-44,1995,88980
Бүгд,40-44,1996,100184
Бүгд,40-44,1997,107081
Бүгд,40-44,1998,117620
Бүгд,40-44,1999,127220
Бүгд,40-44,2000,139129
Бүгд,40-44,2001,145158
Бүгд,40-44,2002,146413
Бүгд,40-44,2003,148161
Бүгд,40-44,2004,149743
Бүгд,40-44,2005,151485
Бүгд,40-44,2006,175113
Бүгд,40-44,2007,175188
Бүгд,40-44,2008,178823
Бүгд,40-44,2009,181803
Бүгд,40-44,2010,188396
Бүгд,40-44,2011,192568
Бүгд,40-44,2012,197184
Бүгд,40-44,2013,201152
Бүгд,40-44,2014,208711
Бүгд,40-44,2015,208439
Бүгд,40-44,2016,214112
Бүгд,40-44,2017,217532
Бүгд,40-44,2018,221914
Бүгд,40-44,2019,224191
Бүгд,40-44,2020,228693
Бүгд,40-44,2021,232520
Бүгд,40-44,2022,237096
Бүгд,40-44,2023,239962
Бүгд,40-44,2024,247505
Бүгд,40-44,2025,255159
Бүгд,45-49,1956,51591
Бүгд,45-49,1963,51947
Бүгд,45-49,1969,50791
Бүгд,45-49,1979,58652
Бүгд,45-49,1989,68296
Бүгд,45-49,1990,64904
Бүгд,45-49,1991,64063
Бүгд,45-49,1992,60247
Бүгд,45-49,1993,62011
Бүгд,45-49,1994,61558
Бүгд,45-49,1995,67051
Бүгд,45-49,1996,67791
Бүгд,45-49,1997,72605
Бүгд,45-49,1998,75880
Бүгд,45-49,1999,82888
Бүгд,45-49,2000,90069
Бүгд,45-49,2001,99163
Бүгд,45-49,2002,100330
Бүгд,45-49,2003,101524
Бүгд,45-49,2004,102612
Бүгд,45-49,2005,103804
Бүгд,45-49,2006,147546
Бүгд,45-49,2007,151765
Бүгд,45-49,2008,155847
Бүгд,45-49,2009,161242
Бүгд,45-49,2010,164611
Бүгд,45-49,2011,168908
Бүгд,45-49,2012,171718
Бүгд,45-49,2013,176018
Бүгд,45-49,2014,178475
Бүгд,45-49,2015,178411
Бүгд,45-49,2016,181405
Бүгд,45-49,2017,186765
Бүгд,45-49,2018,191780
Бүгд,45-49,2019,198122
Бүгд,45-49,2020,203055
Бүгд,45-49,2021,208592
Бүгд,45-49,2022,211851
Бүгд,45-49,2023,215964
Бүгд,45-49,2024,218409
Бүгд,45-49,2025,221648
Бүгд,50-54,1956,41768
Бүгд,50-54,1963,43623
Бүгд,50-54,1969,43264
Бүгд,50-54,1979,45547
Бүгд,50-54,1989,55430
Бүгд,50-54,1990,59474
Бүгд,50-54,1991,59787
Бүгд,50-54,1992,61490
Бүгд,50-54,1993,60652
Бүгд,50-54,1994,62068
Бүгд,50-54,1995,57870
Бүгд,50-54,1996,57766
Бүгд,50-54,1997,55813
Бүгд,50-54,1998,57961
Бүгд,50-54,1999,57835
Бүгд,50-54,2000,66853
Бүгд,50-54,2001,68214
Бүгд,50-54,2002,68424
Бүгд,50-54,2003,69239
Бүгд,50-54,2004,69978
Бүгд,50-54,2005,70793
Бүгд,50-54,2006,102683
Бүгд,50-54,2007,103642
Бүгд,50-54,2008,111691
Бүгд,50-54,2009,116687
Бүгд,50-54,2010,126740
Бүгд,50-54,2011,128834
Бүгд,50-54,2012,137432
Бүгд,50-54,2013,144970
Бүгд,50-54,2014,154443
Бүгд,50-54,2015,152601
Бүгд,50-54,2016,159075
Бүгд,50-54,2017,161016
Бүгд,50-54,2018,164214
Бүгд,50-54,2019,165647
Бүгд,50-54,2020,171749
Бүгд,50-54,2021,174460
Бүгд,50-54,2022,179520
Бүгд,50-54,2023,184561
Бүгд,50-54,2024,190844
Бүгд,50-54,2025,194644
Бүгд,55-59,1956,38813
Бүгд,55-59,1963,42050
Бүгд,55-59,1969,43259
Бүгд,55-59,1979,43264
Бүгд,55-59,1989,50220
Бүгд,55-59,1990,51477
Бүгд,55-59,1991,51210
Бүгд,55-59,1992,48033
Бүгд,55-59,1993,47830
Бүгд,55-59,1994,46823
Бүгд,55-59,1995,51746
Бүгд,55-59,1996,52562
Бүгд,55-59,1997,55633
Бүгд,55-59,1998,55307
Бүгд,55-59,1999,55895
Бүгд,55-59,2000,57098
Бүгд,55-59,2001,57272
Бүгд,55-59,2002,57338
Бүгд,55-59,2003,58022
Бүгд,55-59,2004,58643
Бүгд,55-59,2005,59323
Бүгд,55-59,2006,68566
Бүгд,55-59,2007,69163
Бүгд,55-59,2008,72471
Бүгд,55-59,2009,76029
Бүгд,55-59,2010,77400
Бүгд,55-59,2011,82449
Бүгд,55-59,2012,89643
Бүгд,55-59,2013,96870
Бүгд,55-59,2014,108144
Бүгд,55-59,2015,115125
Бүгд,55-59,2016,119888
Бүгд,55-59,2017,128739
Бүгд,55-59,2018,135542
Бүгд,55-59,2019,142399
Бүгд,55-59,2020,144333
Бүгд,55-59,2021,150371
Бүгд,55-59,2022,152389
Бүгд,55-59,2023,155550
Бүгд,55-59,2024,157159
Бүгд,55-59,2025,162041
Бүгд,60-64,1956,32419
Бүгд,60-64,1963,35810
Бүгд,60-64,1969,37310
Бүгд,60-64,1979,36659
Бүгд,60-64,1989,36235
Бүгд,60-64,1990,39094
Бүгд,60-64,1991,39331
Бүгд,60-64,1992,41589
Бүгд,60-64,1993,43134
Бүгд,60-64,1994,44889
Бүгд,60-64,1995,42953
Бүгд,60-64,1996,43194
Бүгд,60-64,1997,41455
Бүгд,60-64,1998,41732
Бүгд,60-64,1999,42292
Бүгд,60-64,2000,46152
Бүгд,60-64,2001,47348
Бүгд,60-64,2002,48744
Бүгд,60-64,2003,49324
Бүгд,60-64,2004,49851
Бүгд,60-64,2005,50433
Бүгд,60-64,2006,52542
Бүгд,60-64,2007,50679
Бүгд,60-64,2008,51559
Бүгд,60-64,2009,50658
Бүгд,60-64,2010,52405
Бүгд,60-64,2011,52399
Бүгд,60-64,2012,55896
Бүгд,60-64,2013,58876
Бүгд,60-64,2014,66563
Бүгд,60-64,2015,65496
Бүгд,60-64,2016,73940
Бүгд,60-64,2017,79856
Бүгд,60-64,2018,87790
Бүгд,60-64,2019,96433
Бүгд,60-64,2020,106247
Бүгд,60-64,2021,110687
Бүгд,60-64,2022,118999
Бүгд,60-64,2023,125666
Бүгд,60-64,2024,132155
Бүгд,60-64,2025,133336
Бүгд,65-69,1956,22815
Бүгд,65-69,1963,27448
Бүгд,65-69,1969,32442
Бүгд,65-69,1979,32793
Бүгд,65-69,1989,31488
Бүгд,65-69,1990,32296
Бүгд,65-69,1991,31048
Бүгд,65-69,1992,29378
Бүгд,65-69,1993,28849
Бүгд,65-69,1994,27932
Бүгд,65-69,1995,30412
Бүгд,65-69,1996,30826
Бүгд,65-69,1997,33938
Бүгд,65-69,1998,35484
Бүгд,65-69,1999,35415
Бүгд,65-69,2000,35110
Бүгд,65-69,2001,35428
Бүгд,65-69,2002,36047
Бүгд,65-69,2003,36476
Бүгд,65-69,2004,36867
Бүгд,65-69,2005,37295
Бүгд,65-69,2006,43330
Бүгд,65-69,2007,43739
Бүгд,65-69,2008,44263
Бүгд,65-69,2009,44186
Бүгд,65-69,2010,41151
Бүгд,65-69,2011,39965
Бүгд,65-69,2012,39354
Бүгд,65-69,2013,40373
Бүгд,65-69,2014,42307
Бүгд,65-69,2015,43089
Бүгд,65-69,2016,43711
Бүгд,65-69,2017,47326
Бүгд,65-69,2018,50307
Бүгд,65-69,2019,55279
Бүгд,65-69,2020,58415
Бүгд,65-69,2021,65848
Бүгд,65-69,2022,71377
Бүгд,65-69,2023,78602
Бүгд,65-69,2024,86186
Бүгд,65-69,2025,95211
Бүгд,70+,1956,29928
Бүгд,70+,1963,36540
Бүгд,70+,1969,39500
Бүгд,70+,1979,46289
Бүгд,70+,1989,51140
Бүгд,70+,1990,56236
Бүгд,70+,1991,57297
Бүгд,70+,1992,56271
Бүгд,70+,1993,56272
Бүгд,70+,1994,53116
Бүгд,70+,1995,54575
Бүгд,70+,1996,54974
Бүгд,70+,1997,55010
Бүгд,70+,1998,55560
Бүгд,70+,1999,46588
Бүгд,70+,2000,49577
Бүгд,70+,2001,50601
Бүгд,70+,2002,50615
Бүгд,70+,2003,51218
Бүгд,70+,2004,51766
Бүгд,70+,2005,52368
Бүгд,70+,2006,64286
Бүгд,70+,2007,64266
Бүгд,70+,2008,65719
Бүгд,70+,2009,66055
Бүгд,70+,2010,67742
Бүгд,70+,2011,67673
Бүгд,70+,2012,70963
Бүгд,70+,2013,71128
Бүгд,70+,2014,76281
Бүгд,70+,2015,71976
Бүгд,70+,2016,73583
Бүгд,70+,2017,75391
Бүгд,70+,2018,77634
Бүгд,70+,2019,80317
Бүгд,70+,2020,85366
Бүгд,70+,2021,86091
Бүгд,70+,2022,90950
Бүгд,70+,2023,96033
Бүгд,70+,2024,101886
Бүгд,70+,2025,109579
Эрэгтэй,Бүгд,1956,420291
Эрэгтэй,Бүгд,1963,508029
Эрэгтэй,Бүгд,1969,597359
Эрэгтэй,Бүгд,1979,798868
Эрэгтэй,Бүгд,1989,1020669
Эрэгтэй,Бүгд,1990,1073647
Эрэгтэй,Бүгд,1991,1085404
Эрэгтэй,Бүгд,1992,1075995
Эрэгтэй,Бүгд,1993,1082495
Эрэгтэй,Бүгд,1994,1096797
Эрэгтэй,Бүгд,1995,1114370
Эрэгтэй,Бүгд,1996,1129848
Эрэгтэй,Бүгд,1997,1145568
Эрэгтэй,Бүгд,1998,1161666
Эрэгтэй,Бүгд,1999,1177981
Эрэгтэй,Бүгд,2000,1190244
Эрэгтэй,Бүгд,2001,1204702
Эрэгтэй,Бүгд,2002,1223235
Эрэгтэй,Бүгд,2003,1237838
Эрэгтэй,Бүгд,2004,1251052
Эрэгтэй,Бүгд,2005,1265614
Эрэгтэй,Бүгд,2006,1259653
Эрэгтэй,Бүгд,2007,1277249
Эрэгтэй,Бүгд,2008,1301305
Эрэгтэй,Бүгд,2009,1328140
Эрэгтэй,Бүгд,2010,1342081
Эрэгтэй,Бүгд,2011,1364723
Эрэгтэй,Бүгд,2012,1393453
Эрэгтэй,Бүгд,2013,1425843
Эрэгтэй,Бүгд,2014,1466455
Эрэгтэй,Бүгд,2015,1503612
Эрэгтэй,Бүгд,2016,1533983
Эрэгтэй,Бүгд,2017,1562370
Эрэгтэй,Бүгд,2018,1591848
Эрэгтэй,Бүгд,2019,1619573
Эрэгтэй,Бүгд,2020,1654293
Эрэгтэй,Бүгд,2021,1679372
Эрэгтэй,Бүгд,2022,1701462
Эрэгтэй,Бүгд,2023,1723589
Эрэгтэй,Бүгд,2024,1741674
Эрэгтэй,Бүгд,2025,1758462
Эрэгтэй,0-4,1956,53175
Эрэгтэй,0-4,1963,85563
Эрэгтэй,0-4,1969,99441
Эрэгтэй,0-4,1979,133259
Эрэгтэй,0-4,1989,164010
Эрэгтэй,0-4,1990,172036
Эрэгтэй,0-4,1991,169421
Эрэгтэй,0-4,1992,161321
Эрэгтэй,0-4,1993,148716
Эрэгтэй,0-4,1994,139422
Эрэгтэй,0-4,1995,131656
Эрэгтэй,0-4,1996,123825
Эрэгтэй,0-4,1997,118442
Эрэгтэй,0-4,1998,119826
Эрэгтэй,0-4,1999,124482
Эрэгтэй,0-4,2000,116370
Эрэгтэй,0-4,2001,115498
Эрэгтэй,0-4,2002,113584
Эрэгтэй,0-4,2003,114939
Эрэгтэй,0-4,2004,116168
Эрэгтэй,0-4,2005,117519
Эрэгтэй,0-4,2006,109435
Эрэгтэй,0-4,2007,117838
Эрэгтэй,0-4,2008,125642
Эрэгтэй,0-4,2009,133924
Эрэгтэй,0-4,2010,140006
Эрэгтэй,0-4,2011,146292
Эрэгтэй,0-4,2012,154772
Эрэгтэй,0-4,2013,162383
Эрэгтэй,0-4,2014,176583
Эрэгтэй,0-4,2015,198115
Эрэгтэй,0-4,2016,201936
Эрэгтэй,0-4,2017,202282
Эрэгтэй,0-4,2018,200715
Эрэгтэй,0-4,2019,198005
Эрэгтэй,0-4,2020,197011
Эрэгтэй,0-4,2021,193572
Эрэгтэй,0-4,2022,188248
Эрэгтэй,0-4,2023,181491
Эрэгтэй,0-4,2024,174398
Эрэгтэй,0-4,2025,164322
Эрэгтэй,5-9,1956,44253
Эрэгтэй,5-9,1963,70179
Эрэгтэй,5-9,1969,97766
Эрэгтэй,5-9,1979,119153
Эрэгтэй,5-9,1989,139287
Эрэгтэй,5-9,1990,147084
Эрэгтэй,5-9,1991,150691
Эрэгтэй,5-9,1992,150976
Эрэгтэй,5-9,1993,155734
Эрэгтэй,5-9,1994,156910
Эрэгтэй,5-9,1995,159311
Эрэгтэй,5-9,1996,159256
Эрэгтэй,5-9,1997,156130
Эрэгтэй,5-9,1998,146284
Эрэгтэй,5-9,1999,144315
Эрэгтэй,5-9,2000,135082
Эрэгтэй,5-9,2001,129340
Эрэгтэй,5-9,2002,131608
Эрэгтэй,5-9,2003,133178
Эрэгтэй,5-9,2004,134600
Эрэгтэй,5-9,2005,136168
Эрэгтэй,5-9,2006,122971
Эрэгтэй,5-9,2007,124720
Эрэгтэй,5-9,2008,121329
Эрэгтэй,5-9,2009,118564
Эрэгтэй,5-9,2010,115518
Эрэгтэй,5-9,2011,112623
Эрэгтэй,5-9,2012,117201
Эрэгтэй,5-9,2013,125866
Эрэгтэй,5-9,2014,137336
Эрэгтэй,5-9,2015,152485
Эрэгтэй,5-9,2016,164768
Эрэгтэй,5-9,2017,174304
Эрэгтэй,5-9,2018,183100
Эрэгтэй,5-9,2019,190812
Эрэгтэй,5-9,2020,199664
Эрэгтэй,5-9,2021,203415
Эрэгтэй,5-9,2022,204132
Эрэгтэй,5-9,2023,203100
Эрэгтэй,5-9,2024,198227
Эрэгтэй,5-9,2025,200026
Эрэгтэй,10-14,1956,31899
Эрэгтэй,10-14,1963,44042
Эрэгтэй,10-14,1969,70138
Эрэгтэй,10-14,1979,104714
Эрэгтэй,10-14,1989,128824
Эрэгтэй,10-14,1990,131909
Эрэгтэй,10-14,1991,132021
Эрэгтэй,10-14,1992,130799
Эрэгтэй,10-14,1993,131092
Эрэгтэй,10-14,1994,134694
Эрэгтэй,10-14,1995,138371
Эрэгтэй,10-14,1996,143662
Эрэгтэй,10-14,1997,148239
Эрэгтэй,10-14,1998,153162
Эрэгтэй,10-14,1999,159294
Эрэгтэй,10-14,2000,157638
Эрэгтэй,10-14,2001,156627
Эрэгтэй,10-14,2002,156449
Эрэгтэй,10-14,2003,158320
Эрэгтэй,10-14,2004,160007
Эрэгтэй,10-14,2005,161872
Эрэгтэй,10-14,2006,138632
Эрэгтэй,10-14,2007,135581
Эрэгтэй,10-14,2008,132336
Эрэгтэй,10-14,2009,129289
Эрэгтэй,10-14,2010,125645
Эрэгтэй,10-14,2011,120084
Эрэгтэй,10-14,2012,119963
Эрэгтэй,10-14,2013,118223
Эрэгтэй,10-14,2014,113306
Эрэгтэй,10-14,2015,111675
Эрэгтэй,10-14,2016,112576
Эрэгтэй,10-14,2017,118653
Эрэгтэй,10-14,2018,128855
Эрэгтэй,10-14,2019,142513
Эрэгтэй,10-14,2020,153632
Эрэгтэй,10-14,2021,165973
Эрэгтэй,10-14,2022,175437
Эрэгтэй,10-14,2023,184054
Эрэгтэй,10-14,2024,191038
Эрэгтэй,10-14,2025,198824
Эрэгтэй,15-19,1956,37949
Эрэгтэй,15-19,1963,36607
Эрэгтэй,15-19,1969,46686
Эрэгтэй,15-19,1979,93889
Эрэгтэй,15-19,1989,112509
Эрэгтэй,15-19,1990,119445
Эрэгтэй,15-19,1991,121901
Эрэгтэй,15-19,1992,120157
Эрэгтэй,15-19,1993,121404
