species,hses_code,year,aimag_mn,loss
Адуу,46,2020,Өмнөговь,1.2
Адуу,46,2021,Өмнөговь,5.1
Адуу,46,2022,Өмнөговь,0.7
Адуу,46,2023,Өмнөговь,6.5
Адуу,46,2024,Өмнөговь,5.9
Адуу,48,1991,Дундговь,3.3
Адуу,48,1992,Дундговь,6.8
Адуу,48,1993,Дундговь,14.3
Адуу,48,1994,Дундговь,4.2
Адуу,48,1995,Дундговь,2.2
Адуу,48,1996,Дундговь,1.7
Адуу,48,1997,Дундговь,1.1
Адуу,48,1998,Дундговь,0.6
Адуу,48,1999,Дундговь,8.4
Адуу,48,2000,Дундговь,74.4
Адуу,48,2001,Дундговь,8.8
Адуу,48,2002,Дундговь,2.6
Адуу,48,2003,Дундговь,6.3
Адуу,48,2004,Дундговь,0.4
Адуу,48,2005,Дундговь,1.9
Адуу,48,2006,Дундговь,2.6
Адуу,48,2007,Дундговь,1.2
Адуу,48,2008,Дундговь,7.6
Адуу,48,2009,Дундговь,1.5
Адуу,48,2010,Дундговь,21.2
Адуу,48,2011,Дундговь,0.2
Адуу,48,2012,Дундговь,0.1
Адуу,48,2013,Дундговь,0.1
Адуу,48,2014,Дундговь,0.1
Адуу,48,2015,Дундговь,0.2
Адуу,48,2016,Дундговь,2.4
Адуу,48,2017,Дундговь,0.2
Адуу,48,2018,Дундговь,5.3
Адуу,48,2019,Дундговь,0.4
Адуу,48,2020,Дундговь,1.5
Адуу,48,2021,Дундговь,10.1
Адуу,48,2022,Дундговь,0.2
Адуу,48,2023,Дундговь,1.8
Адуу,48,2024,Дундговь,41.6
Адуу,61,1991,Орхон,0.1
Адуу,61,1992,Орхон,0.1
Адуу,61,1993,Орхон,0.3
Адуу,61,1994,Орхон,0.4
Адуу,61,1995,Орхон,0.4
Адуу,61,1996,Орхон,0.5
Адуу,61,1997,Орхон,0.3
Адуу,61,1998,Орхон,0.2
Адуу,61,1999,Орхон,0.2
Адуу,61,2000,Орхон,0.3
Адуу,61,2001,Орхон,0.9
Адуу,61,2002,Орхон,0.7
Адуу,61,2003,Орхон,2.3
Адуу,61,2004,Орхон,0.4
Адуу,61,2005,Орхон,0.4
Адуу,61,2006,Орхон,0.2
Адуу,61,2007,Орхон,0.1
Адуу,61,2008,Орхон,0.1
Адуу,61,2009,Орхон,0.1
Адуу,61,2010,Орхон,0.7
Адуу,61,2011,Орхон,0.1
Адуу,61,2012,Орхон,0.1
Адуу,61,2013,Орхон,0.1
Адуу,61,2014,Орхон,0.1
Адуу,61,2015,Орхон,0.1
Адуу,61,2016,Орхон,0.1
Адуу,61,2017,Орхон,0.3
Адуу,61,2018,Орхон,0.5
Адуу,61,2019,Орхон,0.2
Адуу,61,2020,Орхон,0.1
Адуу,61,2021,Орхон,0
Адуу,61,2022,Орхон,0.1
Адуу,61,2023,Орхон,0.3
Адуу,61,2024,Орхон,0.8
Адуу,62,1991,Өвөрхангай,3.6
Адуу,62,1992,Өвөрхангай,6.2
Адуу,62,1993,Өвөрхангай,18.6
Адуу,62,1994,Өвөрхангай,1.5
Адуу,62,1995,Өвөрхангай,2.2
Адуу,62,1996,Өвөрхангай,10.6
Адуу,62,1997,Өвөрхангай,2.9
Адуу,62,1998,Өвөрхангай,1.8
Адуу,62,1999,Өвөрхангай,5.9
Адуу,62,2000,Өвөрхангай,90.7
Адуу,62,2001,Өвөрхангай,30.7
Адуу,62,2002,Өвөрхангай,25
Адуу,62,2003,Өвөрхангай,5.9
Адуу,62,2004,Өвөрхангай,0.7
Адуу,62,2005,Өвөрхангай,1.6
Адуу,62,2006,Өвөрхангай,1.1
Адуу,62,2007,Өвөрхангай,1
Адуу,62,2008,Өвөрхангай,15.5
Адуу,62,2009,Өвөрхангай,2.4
Адуу,62,2010,Өвөрхангай,80.1
Адуу,62,2011,Өвөрхангай,0.9
