species,hses_code,year,aimag_mn,livestock
Адуу,23,2006,Хэнтий,176
Адуу,23,2007,Хэнтий,179
Адуу,23,2008,Хэнтий,143.3
Адуу,23,2009,Хэнтий,136.3
Адуу,23,2010,Хэнтий,143.7
Адуу,23,2011,Хэнтий,156.5
Адуу,23,2012,Хэнтий,172.6
Адуу,23,2013,Хэнтий,195.6
Адуу,23,2014,Хэнтий,220.6
Адуу,23,2015,Хэнтий,248
Адуу,23,2016,Хэнтий,280.8
Адуу,23,2017,Хэнтий,312.1
Адуу,23,2018,Хэнтий,318.9
Адуу,23,2019,Хэнтий,325.4
Адуу,23,2020,Хэнтий,321.5
Адуу,23,2021,Хэнтий,346.8
Адуу,23,2022,Хэнтий,376.6
Адуу,23,2023,Хэнтий,358.2
Адуу,23,2024,Хэнтий,285.8
Адуу,41,1970,Төв,180.8
Адуу,41,1971,Төв,179
Адуу,41,1972,Төв,170.1
Адуу,41,1973,Төв,159.1
Адуу,41,1974,Төв,167.1
Адуу,41,1975,Төв,178.4
Адуу,41,1976,Төв,166.2
Адуу,41,1977,Төв,152.9
Адуу,41,1978,Төв,153
Адуу,41,1979,Төв,155
Адуу,41,1980,Төв,152.9
Адуу,41,1981,Төв,153.4
Адуу,41,1982,Төв,158.5
Адуу,41,1983,Төв,157.2
Адуу,41,1984,Төв,154.2
Адуу,41,1985,Төв,156.5
Адуу,41,1986,Төв,163.5
Адуу,41,1987,Төв,170.6
Адуу,41,1988,Төв,180.8
Адуу,41,1989,Төв,195.8
Адуу,41,1990,Төв,203.3
Адуу,41,1991,Төв,210.3
Адуу,41,1992,Төв,205.4
Адуу,41,1993,Төв,207.3
Адуу,41,1994,Төв,220.1
Адуу,41,1995,Төв,247.3
Адуу,41,1996,Төв,261.6
Адуу,41,1997,Төв,280.3
Адуу,41,1998,Төв,302.7
Адуу,41,1999,Төв,303.6
Адуу,41,2000,Төв,249.5
Адуу,41,2001,Төв,192.7
Адуу,41,2002,Төв,185.8
Адуу,41,2003,Төв,165.2
Адуу,41,2004,Төв,169.2
Адуу,41,2005,Төв,179.4
Адуу,41,2006,Төв,197.9
Адуу,41,2007,Төв,215
Адуу,41,2008,Төв,212.7
Адуу,41,2009,Төв,233.1
Адуу,41,2010,Төв,199.8
Адуу,41,2011,Төв,223
Адуу,41,2012,Төв,246.7
Адуу,41,2013,Төв,283.6
Адуу,41,2014,Төв,331
Адуу,41,2015,Төв,360.8
Адуу,41,2016,Төв,382.6
Адуу,41,2017,Төв,375.6
Адуу,41,2018,Төв,341.4
Адуу,41,2019,Төв,371.4
Адуу,41,2020,Төв,364.7
Адуу,41,2021,Төв,356.8
Адуу,41,2022,Төв,398.8
Адуу,41,2023,Төв,425.2
Адуу,41,2024,Төв,433.7
Адуу,42,1991,Говьсүмбэр,6.2
Адуу,42,1992,Говьсүмбэр,6.4
Адуу,42,1993,Говьсүмбэр,7
Адуу,42,1994,Говьсүмбэр,8
Адуу,42,1995,Говьсүмбэр,8.9
Адуу,42,1996,Говьсүмбэр,10.3
Адуу,42,1997,Говьсүмбэр,11.8
Адуу,42,1998,Говьсүмбэр,13.4
Адуу,42,1999,Говьсүмбэр,14.7
Адуу,42,2000,Говьсүмбэр,12.3
Адуу,42,2001,Говьсүмбэр,6.4
Адуу,42,2002,Говьсүмбэр,7.3
Адуу,42,2003,Говьсүмбэр,10
Адуу,42,2004,Говьсүмбэр,11.1
Адуу,42,2005,Говьсүмбэр,11.9
Адуу,42,2006,Говьсүмбэр,12
Адуу,42,2007,Говьсүмбэр,11.2
Адуу,42,2008,Говьсүмбэр,7.3
Адуу,42,2009,Говьсүмбэр,7
Адуу,42,2010,Говьсүмбэр,6.9
Адуу,42,2011,Говьсүмбэр,8.6
Адуу,42,2012,Говьсүмбэр,9.6
Адуу,42,2013,Говьсүмбэр,12.1
Адуу,42,2014,Говьсүмбэр,15
Адуу,42,2015,Говьсүмбэр,18.1
Адуу,42,2016,Говьсүмбэр,20.3
Адуу,42,2017,Говьсүмбэр,22.3
Адуу,42,2018,Говьсүмбэр,20.6
Адуу,42,2019,Говьсүмбэр,22.7
Адуу,42,2020,Говьсүмбэр,22.7
Адуу,42,2021,Говьсүмбэр,24.3
Адуу,42,2022,Говьсүмбэр,27.7
Адуу,42,2023,Говьсүмбэр,30.8
Адуу,42,2024,Говьсүмбэр,21.6
Адуу,43,1970,Сэлэнгэ,17.9
Адуу,43,1971,Сэлэнгэ,18.6
Адуу,43,1972,Сэлэнгэ,17.2
Адуу,43,1973,Сэлэнгэ,19.8
Адуу,43,1974,Сэлэнгэ,21.5
Адуу,43,1975,Сэлэнгэ,21.6
Адуу,43,1976,Сэлэнгэ,21.3
Адуу,43,1977,Сэлэнгэ,23.5
Адуу,43,1978,Сэлэнгэ,23.2
Адуу,43,1979,Сэлэнгэ,22.3
Адуу,43,1980,Сэлэнгэ,21.4
Адуу,43,1981,Сэлэнгэ,22
Адуу,43,1982,Сэлэнгэ,21.4
Адуу,43,1983,Сэлэнгэ,22.4
Адуу,43,1984,Сэлэнгэ,22.8
Адуу,43,1985,Сэлэнгэ,24.2
Адуу,43,1986,Сэлэнгэ,24.8
Адуу,43,1987,Сэлэнгэ,25.7
Адуу,43,1988,Сэлэнгэ,25.5
Адуу,43,1989,Сэлэнгэ,28.2
Адуу,43,1990,Сэлэнгэ,33.8
Адуу,43,1991,Сэлэнгэ,34.1
Адуу,43,1992,Сэлэнгэ,34.9
Адуу,43,1993,Сэлэнгэ,37.6
Адуу,43,1994,Сэлэнгэ,38.6
Адуу,43,1995,Сэлэнгэ,41.2
Адуу,43,1996,Сэлэнгэ,40.8
Адуу,43,1997,Сэлэнгэ,41.4
Адуу,43,1998,Сэлэнгэ,44.1
Адуу,43,1999,Сэлэнгэ,46.3
Адуу,43,2000,Сэлэнгэ,45.9
Адуу,43,2001,Сэлэнгэ,47.8
Адуу,43,2002,Сэлэнгэ,47.6
Адуу,43,2003,Сэлэнгэ,42.9
Адуу,43,2004,Сэлэнгэ,39.5
Адуу,43,2005,Сэлэнгэ,37.1
Адуу,43,2006,Сэлэнгэ,39.2
Адуу,43,2007,Сэлэнгэ,45.3
