hses_code,year,schools,students,school_density
41,2006,33,16.4,2.0121951219512195
41,2007,32,15.4,2.0779220779220777
41,2008,33,15,2.2
41,2009,33,14.5,2.2758620689655173
41,2010,32,14.3,2.2377622377622375
41,2011,31,13.9,2.2302158273381294
41,2012,31,13.4,2.3134328358208953
41,2013,31,13.3,2.3308270676691727
41,2014,31,13.3,2.3308270676691727
41,2015,31,14,2.2142857142857144
41,2016,31,14.4,2.1527777777777777
41,2017,31,14.8,2.0945945945945943
41,2018,31,15.3,2.026143790849673
41,2019,31,16.5,1.878787878787879
41,2020,31,17.3,1.791907514450867
41,2021,31,18,1.7222222222222223
41,2022,32,18.6,1.7204301075268815
41,2023,31,19.1,1.6230366492146595
41,2024,32,19.8,1.6161616161616161
41,2025,33,20.3,1.625615763546798
42,2000,4,3,1.3333333333333333
42,2001,5,2.9,1.7241379310344829
42,2002,5,3,1.6666666666666667
42,2003,5,3,1.6666666666666667
42,2004,4,3,1.3333333333333333
42,2005,4,3,1.3333333333333333
42,2006,4,3,1.3333333333333333
42,2007,4,3,1.3333333333333333
42,2008,4,2.9,1.3793103448275863
42,2009,4,3,1.3333333333333333
42,2010,4,3,1.3333333333333333
42,2011,5,2.9,1.7241379310344829
42,2012,5,3,1.6666666666666667
42,2013,5,3,1.6666666666666667
42,2014,5,3,1.6666666666666667
42,2015,5,3.3,1.5151515151515151
42,2016,5,3.3,1.5151515151515151
42,2017,5,3.4,1.4705882352941178
42,2018,5,3.4,1.4705882352941178
42,2019,5,3.8,1.3157894736842106
42,2020,5,4,1.25
42,2021,5,4.1,1.2195121951219514
42,2022,5,4.3,1.1627906976744187
42,2023,5,4.4,1.1363636363636362
42,2024,5,4.5,1.1111111111111112
42,2025,5,4.6,1.0869565217391306
43,2000,34,23.1,1.4718614718614718
43,2001,34,23.1,1.4718614718614718
43,2002,35,23.6,1.483050847457627
43,2003,34,23.4,1.4529914529914532
43,2004,33,22.9,1.4410480349344978
43,2005,33,22.4,1.4732142857142858
43,2006,33,21.1,1.5639810426540284
43,2007,33,20.7,1.5942028985507246
43,2008,34,19.7,1.7258883248730965
43,2009,35,19.4,1.8041237113402062
43,2010,35,18.9,1.851851851851852
43,2011,35,18.5,1.8918918918918919
43,2012,35,17.8,1.9662921348314606
43,2013,35,17.5,2
43,2014,35,17.6,1.9886363636363635
43,2015,34,18.4,1.847826086956522
43,2016,34,18.8,1.8085106382978722
43,2017,35,18.9,1.851851851851852
43,2018,34,19.1,1.7801047120418847
43,2019,34,20.3,1.6748768472906403
43,2020,35,21.2,1.650943396226415
43,2021,35,21.5,1.627906976744186
43,2022,35,22,1.5909090909090908
43,2023,35,22.1,1.583710407239819
43,2024,35,22.5,1.5555555555555556
43,2025,35,22.9,1.5283842794759825
44,2000,19,10.5,1.8095238095238095
44,2001,19,10.7,1.7757009345794394
44,2002,18,11,1.6363636363636365
44,2003,19,11.2,1.6964285714285716
44,2004,20,11.6,1.7241379310344829
44,2005,20,11.5,1.7391304347826086
44,2006,19,11.3,1.6814159292035398
44,2007,22,11.1,1.981981981981982
44,2008,20,11.2,1.7857142857142858
44,2009,20,11.1,1.8018018018018018
44,2010,20,11,1.8181818181818181
44,2011,20,10.9,1.8348623853211008
44,2012,21,10.9,1.926605504587156
44,2013,22,11.1,1.981981981981982
44,2014,22,11.3,1.9469026548672566
44,2015,22,11.9,1.8487394957983192
44,2016,21,12.3,1.7073170731707317
44,2017,22,12.7,1.7322834645669292
44,2018,22,13,1.6923076923076923
44,2019,22,14,1.5714285714285714
44,2020,21,14.6,1.4383561643835616
44,2021,21,15.2,1.381578947368421
44,2022,22,15.3,1.4379084967320261
44,2023,22,15.8,1.3924050632911391
44,2024,21,16.2,1.2962962962962963
44,2025,22,16.4,1.3414634146341464
45,2000,21,20.9,1.0047846889952154
45,2001,20,21.4,0.9345794392523366
45,2002,18,21.7,0.8294930875576038
45,2003,23,22,1.0454545454545454
45,2004,27,22.2,1.2162162162162162
45,2005,27,23.7,1.139240506329114
45,2006,28,22.1,1.2669683257918551
45,2007,29,20.6,1.407766990291262
45,2008,29,19.8,1.4646464646464645
45,2009,29,19.1,1.5183246073298429
45,2010,28,18.5,1.5135135135135136
45,2011,28,18.3,1.530054644808743
45,2012,27,17.9,1.5083798882681565
45,2013,28,17.7,1.5819209039548023
45,2014,27,17.7,1.5254237288135595
45,2015,27,18.6,1.4516129032258063
45,2016,26,19,1.368421052631579
45,2017,26,19.4,1.3402061855670104
45,2018,26,20,1.3
45,2019,26,21.7,1.19815668202765
