b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
25,1.0380060250036154,0.11970334204733274,0.061796306117361824,-0.057907035929970915,2942,793,2149,FALSE,FALSE,
26,1.0650428339903726,0.11435869170370158,0.08258544646974933,-0.03177324523395225,3310,814,2496,FALSE,FALSE,
27,1.8612856339084771,0.1251925586667445,0.09093178843682938,-0.034260770229915125,2588,2048,540,FALSE,FALSE,
28,1.714084183586253,0.08390231248797715,0.09311187628624999,0.00920956379827284,2623,1529,1094,FALSE,FALSE,
29,1.020533066128087,0.11485047594791703,0.08505264530294912,-0.02979783064496791,3794,1168,2626,FALSE,FALSE,
30,1.506024096385542,0.11931466338301265,0.08155187435054774,-0.03776278903246491,3300,1232,2068,FALSE,FALSE,
31,1.0380060250036154,0.11237535898936969,0.08121014868000653,-0.03116521030936316,3087,738,2349,FALSE,FALSE,
32,1.503995577222697,0.11187216198975324,0.08520100483953469,-0.026671157150218547,2571,858,1713,FALSE,FALSE,
33,1.0380060250036154,0.12143623671939405,0.07300920929350926,-0.04842702742588478,3325,793,2532,FALSE,FALSE,
34,1.503995577222697,0.10434276324176428,0.08710387081225614,-0.017238892429508143,2569,1020,1549,FALSE,FALSE,
35,1.8079931039396437,0.09762508871420414,0.0814231074509254,-0.016201981263278736,2793,1916,877,FALSE,FALSE,
36,1.0380060250036154,0.12279682462734806,0.08657457838341276,-0.0362222462439353,5243,2864,2379,FALSE,FALSE,
37,1.0380060250036154,0.11595247746592859,0.10090065914981085,-0.015051818316117738,3803,1531,2272,FALSE,FALSE,
38,1.506024096385542,0.11139890740214962,0.07817355665924491,-0.03322535074290471,3311,1732,1579,FALSE,FALSE,
39,1.1372159625595029,0.12154729599689683,0.08729074438870878,-0.03425655160818805,3783,1829,1954,FALSE,FALSE,
40,1.6546977178108841,0.12813641963350095,0.08790332487643307,-0.04023309475706788,3419,2162,1257,FALSE,FALSE,
41,1.503995577222697,0.13431911569674426,0.12092385041902315,-0.013395265277721113,2666,1262,1404,FALSE,FALSE,
42,1.0380060250036154,0.12316764842144823,0.10909254318314754,-0.01407510523830069,3702,1432,2270,FALSE,FALSE,
43,1.8392880171046944,0.1107985390963979,0.09245230444268963,-0.01834623465370827,2381,1858,523,FALSE,FALSE,
44,1.503995577222697,0.12998967243864815,0.09961397194309807,-0.03037570049555008,2390,1482,908,FALSE,FALSE,
45,1.506024096385542,0.11021110635000829,0.0774581705670346,-0.03275293578297368,2407,1243,1164,FALSE,FALSE,
46,1.702127659574468,0.11032869392054366,0.06569338145794922,-0.044635312462594445,3434,2073,1361,FALSE,FALSE,
47,1.1372159625595029,0.12388790390823134,0.10278703998960353,-0.02110086391862781,2981,1016,1965,FALSE,FALSE,
48,1.5240735280602395,0.11608152743256192,0.08328739496355474,-0.032794132469007184,4201,2223,1978,FALSE,FALSE,
49,1.506024096385542,0.12444464723033939,0.05964330883955117,-0.06480133839078822,2439,646,1793,FALSE,FALSE,
50,1.9313481439033608,0.09155472428693939,0.06790319779532822,-0.023651526491611174,2210,1960,250,FALSE,FALSE,
51,1.506024096385542,0.1160847018830913,0.07131863344643694,-0.04476606843665437,3310,1704,1606,FALSE,FALSE,
52,1.475591263726857,0.10462736369167835,0.05800247605844455,-0.0466248876332338,3393,1765,1628,FALSE,FALSE,
53,1.0380060250036154,0.1220501139389395,0.09211992693350929,-0.02993018700543021,3112,672,2440,TRUE,FALSE,S_cluster unavailable; used robust S
54,1.6182262922756814,0.07837963895501023,0.11098411255425567,0.03260447359924544,2045,1239,806,FALSE,FALSE,
55,1.1372159625595029,0.12067685255533228,0.08331810611666562,-0.03735874643866666,3210,928,2282,FALSE,FALSE,
