gamma,N,N_low,N_high,beta_low,se_low,p_low,beta_high,se_high,p_high,objective_value,warning_flag,warning_note
1.160856465460695,3188,1069,2119,0.10437739186799484,0.011645938988841635,1.271883890838796e-8,0.10202660773744648,0.012678530137216704,7.493209935696615e-8,45990.87585968609,FALSE,
1.1659288643767394,3188,1069,2119,0.10437739186799484,0.011645938988841635,1.271883890838796e-8,0.10202660773744648,0.012678530137216704,7.493209935696615e-8,45990.87585968609,FALSE,
1.1710012632927838,3188,1069,2119,0.10437739186799484,0.011645938988841635,1.271883890838796e-8,0.10202660773744648,0.012678530137216704,7.493209935696615e-8,45990.87585968609,FALSE,
1.0391188914756289,3188,793,2395,0.10478728270317618,0.011738417409791677,1.3601760913556468e-8,0.10240408107227625,0.01157789033279548,1.588135400299467e-8,45992.0215343868,FALSE,
1.0441912903916732,3188,793,2395,0.10478728270317618,0.011738417409791677,1.3601760913556468e-8,0.10240408107227625,0.01157789033279548,1.588135400299467e-8,45992.0215343868,FALSE,
1.0492636893077176,3188,793,2395,0.10478728270317618,0.011738417409791677,1.3601760913556468e-8,0.10240408107227625,0.01157789033279548,1.588135400299467e-8,45992.0215343868,FALSE,
1.4702727993394047,3188,1614,1574,0.10644678317883322,0.009634537603816969,3.2887442906645085e-10,0.09821706928921026,0.014713335345497444,1.3168534704085405e-6,45993.58847153604,FALSE,
1.2876664383618055,3188,1347,1841,0.1039158544100335,0.011150605422354295,6.560593777646195e-9,0.10229678947155878,0.01360385511808547,2.1898388214506942e-7,45997.64308307451,FALSE,
1.5057795917517156,3188,1697,1491,0.10369282066643246,0.011798039810416841,1.7654752632555968e-8,0.10226470117979714,0.014600418170632018,6.474153465958836e-7,45998.94592635925,FALSE,
1.3130284329420276,3188,1404,1784,0.10383447186207993,0.011087800031771736,6.036875110963348e-9,0.1023770256268289,0.014206085554558046,4.212629017496552e-7,46002.05666911394,FALSE,
1.2065080557050947,3188,1103,2085,0.10442461543739201,0.01205077856361304,2.2351348361822658e-8,0.10205221677023309,0.013285285572594356,1.5694147120910733e-7,46002.10204741771,FALSE,
1.211580454621139,3188,1103,2085,0.10442461543739201,0.01205077856361304,2.2351348361822658e-8,0.10205221677023309,0.013285285572594356,1.5694147120910733e-7,46002.10204741771,FALSE,
1.739109941889759,3188,2382,806,0.1035469993481021,0.012095742881747217,2.7340594227114262e-8,0.1018215279086001,0.01071783222867865,4.7183274795441814e-9,46002.141467777714,FALSE,
1.1760736622088281,3188,1085,2103,0.10429037578688687,0.011774810124905222,1.5516577813950544e-8,0.10218420479051518,0.012917696319137984,9.860263879816098e-8,46002.635168314926,FALSE,
1.1811460611248725,3188,1085,2103,0.10429037578688687,0.011774810124905222,1.5516577813950544e-8,0.10218420479051518,0.012917696319137984,9.860263879816098e-8,46002.635168314926,FALSE,
1.1912908589569615,3188,1098,2090,0.1044996392932692,0.01201185903889577,2.093011108421686e-8,0.10199861310173036,0.013096519601944129,1.2626868226137093e-7,46002.71452298512,FALSE,
1.196363257873006,3188,1098,2090,0.1044996392932692,0.01201185903889577,2.093011108421686e-8,0.10199861310173036,0.013096519601944129,1.2626868226137093e-7,46002.71452298512,FALSE,
1.2014356567890503,3188,1098,2090,0.1044996392932692,0.01201185903889577,2.093011108421686e-8,0.10199861310173036,0.013096519601944129,1.2626868226137093e-7,46002.71452298512,FALSE,
1.4753451982554493,3188,1625,1563,0.10524755689546236,0.01032626951557308,1.3866925018771233e-9,0.10010730410256274,0.014262199026009847,6.272194412801682e-7,46003.72599869166,FALSE,
0.9681053066510068,3188,355,2833,0.10065827197719902,0.011251565276188043,1.3116923334724494e-8,0.10380351080217326,0.012144258391784058,2.8039720511874856e-8,46004.219489101604,FALSE,
1.581865575492382,3188,1896,1292,0.10548634717091292,0.01078392098846131,2.846923040716615e-9,0.09841361584225229,0.012545558164959381,1.1264629710141213e-7,46004.34701089735,FALSE,
1.5869379744084264,3188,1896,1292,0.10548634717091292,0.01078392098846131,2.846923040716615e-9,0.09841361584225229,0.012545558164959381,1.1264629710141213e-7,46004.34701089735,FALSE,
1.592010373324471,3188,1896,1292,0.10548634717091292,0.01078392098846131,2.846923040716615e-9,0.09841361584225229,0.012545558164959381,1.1264629710141213e-7,46004.34701089735,FALSE,
1.8050511277983365,3188,2566,622,0.10351929061701749,0.012288088888235323,3.5607392310097314e-8,0.10154563855223615,0.009629258940503094,7.582470911263416e-10,46004.384749822544,FALSE,
1.1557840665446504,3188,1036,2152,0.10392659834292162,0.011721045049002052,1.523767259018052e-8,0.10257882536047461,0.012745134129200794,7.474158359268123e-8,46004.86480223953,FALSE,
0.957960508818918,3188,353,2835,0.10029436819051578,0.011295181846471209,1.4875583702463748e-8,0.10391472169838252,0.012167725772233334,2.8440513744208316e-8,46005.057694695155,FALSE,
0.9630329077349624,3188,353,2835,0.10029436819051578,0.011295181846471209,1.4875583702463748e-8,0.10391472169838252,0.012167725772233334,2.8440513744208316e-8,46005.057694695155,FALSE,
0.9731777055670513,3188,413,2775,0.10537664546155932,0.012256539754178767,2.5460040149471167e-8,0.10285468938507814,0.011608298017795081,1.541797762890377e-8,46007.36769718793,FALSE,
0.9782501044830957,3188,413,2775,0.10537664546155932,0.012256539754178767,2.5460040149471167e-8,0.10285468938507814,0.011608298017795081,1.541797762890377e-8,46007.36769718793,FALSE,
0.9833225033991401,3188,413,2775,0.10537664546155932,0.012256539754178767,2.5460040149471167e-8,0.10285468938507814,0.011608298017795081,1.541797762890377e-8,46007.36769718793,FALSE,
0.9478157109868292,3188,347,2841,0.10060900584593356,0.011177701984329685,1.1836933655217534e-8,0.10383412690873066,0.012169771910068988,2.8887036254236248e-8,46007.50900173152,FALSE,
0.9528881099028735,3188,347,2841,0.10060900584593356,0.011177701984329685,1.1836933655217534e-8,0.10383412690873066,0.012169771910068988,2.8887036254236248e-8,46007.50900173152,FALSE,
1.7340375429737147,3188,2376,812,0.1034637732958078,0.01207386286137219,2.6889622781034562e-8,0.10233131057274068,0.010827494093727234,5.158222277030806e-9,46010.54498011264,FALSE,
