b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
99,17.992047713717692,0.11839571880457725,0.1205398614529987,0.002144142648421457,915,171,744,FALSE,FALSE,
100,21.48070907194995,0.08854747309390652,0.11876006333097724,0.03021259023707072,1005,496,509,FALSE,FALSE,
101,25.42759407069555,0.1063740414739235,0.15425639555860193,0.04788235408467843,1169,971,198,FALSE,FALSE,
102,25.679347826086957,0.06650797625824811,0.17412260578740663,0.10761462952915851,847,735,112,FALSE,FALSE,
103,25.387596899224807,0.09112298704882313,0.10804735881371744,0.016924371764894308,1162,903,259,FALSE,FALSE,
104,20.95435684647303,0.14531495666106198,0.12343011285588816,-0.021884843805173818,894,482,412,FALSE,FALSE,
105,25.806451612903224,0.09936344688530173,0.15140123920347767,0.05203779231817594,867,758,109,FALSE,FALSE,
106,19.384615384615383,0.0768028890278559,0.10324532804637727,0.026442439018521377,1307,235,1072,FALSE,FALSE,
107,25.235849056603772,0.10094821393672931,0.1324234557533748,0.03147524181664549,908,764,144,FALSE,FALSE,
108,17.41357234314981,0.10924440583667659,0.1159225452949281,0.006678139458251506,845,191,654,FALSE,FALSE,
109,25.322391559202813,0.0981675538714155,0.1577270331216898,0.059559479250274314,796,694,102,FALSE,FALSE,
110,25.235849056603772,0.09479404590450223,0.12866252313525212,0.033868477230749885,1020,839,181,FALSE,FALSE,
111,25.519287833827892,0.08862020277096154,0.14222113961190952,0.05360093684094798,884,739,145,FALSE,FALSE,
112,21.48070907194995,0.11639653542884401,0.12649112362419798,0.01009458819535397,1329,718,611,FALSE,FALSE,
113,25.418410041841003,0.09618011532729492,0.1468842806159276,0.05070416528863267,1125,916,209,FALSE,FALSE,
114,25.119617224880383,0.10803952503340569,0.12512872013410126,0.017089195100695564,1587,1314,273,FALSE,FALSE,
115,25.666666666666668,0.08625354713425888,0.12421942046820568,0.0379658733339468,1056,892,164,FALSE,FALSE,
116,25.519287833827892,0.09048247381819255,0.13503567203711866,0.044553198218926116,1438,1198,240,FALSE,FALSE,
117,25.46875,0.10561052664519809,0.13155410113231955,0.025943574487121465,989,807,182,FALSE,FALSE,
118,25.806451612903224,0.09784299107632882,0.12924296586715822,0.0313999747908294,823,693,130,FALSE,FALSE,
