b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
84,19.40162620247366,0.10021145480236719,0.11888334489440466,0.01867189009203747,3402,1075,2327,FALSE,FALSE,
85,25.2375337309236,0.08217148345807669,0.13130441797803907,0.04913293451996238,3634,3136,498,FALSE,FALSE,
86,24.924897627024734,0.08172890595206232,0.12431410927642526,0.04258520332436294,2860,2418,442,FALSE,FALSE,
87,25.330265385840498,0.0817459505501859,0.12227143687055207,0.04052548632036618,2607,2243,364,FALSE,FALSE,
88,19.290908096878248,0.08657038619740723,0.11032255088927008,0.02375216469186285,4208,967,3241,FALSE,FALSE,
89,25.401342038447588,0.07285936770895399,0.11847456761583643,0.04561519990688244,2567,2261,306,FALSE,FALSE,
90,19.300045599635204,0.073585911084223,0.10387937255928212,0.030293461475059125,3364,1228,2136,FALSE,FALSE,
91,19.40162620247366,0.08180234875634035,0.10560126091146309,0.02379891215512274,3509,1365,2144,FALSE,FALSE,
92,18.767149133446537,0.08276191239933721,0.11464362089796337,0.03188170849862616,4601,817,3784,FALSE,FALSE,
93,19.53062264661216,0.11008644936715266,0.11587552143917258,0.005789072072019924,2938,1123,1815,FALSE,FALSE,
94,25.2375337309236,0.1060946290068257,0.12774648572087002,0.02165185671404432,3259,2661,598,FALSE,FALSE,
95,18.97585604312185,0.07727532613009458,0.11250084708045413,0.03522552095035955,4397,635,3762,FALSE,FALSE,
96,25.392553622015377,0.07011265111404907,0.11147376165258203,0.04136111053853296,2514,2094,420,FALSE,FALSE,
97,18.482730502650128,0.07631151708023068,0.1117488333499823,0.03543731626975162,4594,697,3897,FALSE,FALSE,
98,19.300045599635204,0.0776082339736588,0.10973985927326564,0.032131625299606836,4906,1282,3624,FALSE,FALSE,
99,24.37806798184681,0.10326488229289814,0.09469949010986413,-0.00856539218303401,2279,1785,494,FALSE,FALSE,
100,18.97585604312185,0.07446444284772288,0.10454112741965249,0.030076684571929607,3423,1116,2307,FALSE,FALSE,
101,19.300045599635204,0.08154485644162361,0.10262177221170833,0.02107691577008472,3106,993,2113,FALSE,FALSE,
102,19.67723692726329,0.0736845640520013,0.10771207440472491,0.03402751035272361,4315,1633,2682,FALSE,FALSE,
103,19.40162620247366,0.07922267703298466,0.09770542604784636,0.018482749014861702,3392,1347,2045,FALSE,FALSE,
104,25.392553622015377,0.08902821604202689,0.14438441269318705,0.055356196651160164,2859,2456,403,FALSE,FALSE,
105,18.5646074001787,0.05281267917782162,0.10444617385902055,0.05163349468119893,3458,1047,2411,FALSE,FALSE,
106,25.205639493141994,0.0892752294569214,0.12218852469629016,0.032913295239368756,3413,3032,381,FALSE,FALSE,
107,20.408107672258616,0.07403725731881994,0.0921889682884542,0.018151710969634263,1924,1084,840,FALSE,FALSE,
108,25.362207922029242,0.104919687394774,0.14811726193054056,0.04319757453576656,2464,2083,381,FALSE,FALSE,
109,19.53062264661216,0.07045127366801918,0.1185997816296721,0.04814850796165292,3571,889,2682,FALSE,FALSE,
110,25.270891367885397,0.11212335273173418,0.15168574124670925,0.039562388514975066,2109,1880,229,FALSE,FALSE,
111,26.439452439452438,0.10878676631712615,0.13617328704305767,0.02738652072593152,2261,2017,244,FALSE,FALSE,
112,25.330265385840498,0.0771637535607491,0.12276432095142673,0.045600567390677624,2526,2094,432,FALSE,FALSE,
113,19.300045599635204,0.07389403260368907,0.11131922573557784,0.03742519313188877,5361,1087,4274,FALSE,FALSE,
114,19.290908096878248,0.0897861519181667,0.11824535889394713,0.02845920697578043,4760,885,3875,FALSE,FALSE,
115,25.330265385840498,0.0654480715956831,0.1138035735716317,0.04835550197594861,2296,1874,422,FALSE,FALSE,
116,19.557047327769425,0.08570558412254342,0.11791231876079619,0.03220673463825277,4237,908,3329,FALSE,FALSE,
117,19.557047327769425,0.10818544645658695,0.11766438639143255,0.009478939934845595,4550,681,3869,FALSE,FALSE,
118,26.31736855585233,0.06285435937484535,0.13313566837839563,0.07028130900355029,2698,2431,267,FALSE,FALSE,
119,19.74301952063257,0.08504898072640218,0.10857441164658105,0.023525430920178864,3100,988,2112,FALSE,FALSE,
120,19.53062264661216,0.06457694067503486,0.09467851251009549,0.030101571835060625,3685,1514,2171,FALSE,FALSE,
121,24.924897627024734,0.06369978007576482,0.10212281826833258,0.03842303819256776,2718,2290,428,FALSE,FALSE,
122,24.93376015505794,0.11051749971698188,0.1246351109819388,0.01411761126495692,3921,3114,807,FALSE,FALSE,
123,25.392553622015377,0.07981509454118829,0.12360540570601874,0.04379031116483045,2307,1842,465,FALSE,FALSE,
124,24.29626523147177,0.0673644581390114,0.10312373030976599,0.035759272170754586,2443,1947,496,FALSE,FALSE,
125,19.53062264661216,0.07579804302931295,0.11703910326379575,0.041241060234482804,4498,928,3570,FALSE,FALSE,
126,25.35989602452551,0.09632694555244667,0.13642318071895226,0.040096235166505595,2349,2070,279,FALSE,FALSE,
127,25.35989602452551,0.04431123757248899,0.10053894358054317,0.056227706008054185,2666,2383,283,FALSE,FALSE,
128,25.330265385840498,0.08462399158078296,0.11510371084981938,0.03047971926903642,2446,2193,253,FALSE,FALSE,
129,25.362207922029242,0.07446925385874985,0.12219473889952782,0.047725485040777976,2472,2067,405,FALSE,FALSE,
130,19.557047327769425,0.09938819615809039,0.10821815936977319,0.008829963211682806,2335,1123,1212,FALSE,FALSE,
131,19.557047327769425,0.08539293852157853,0.11090891081301191,0.025515972291433375,3617,1482,2135,FALSE,FALSE,
132,19.01993355481728,0.08103252249997464,0.11484013149740444,0.033807608997429794,4139,1042,3097,FALSE,FALSE,
133,23.84041184041184,0.06903149655350536,0.10355091529685727,0.034519418743351904,2233,1587,646,FALSE,FALSE,
134,25.330265385840498,0.09370517818891308,0.12336660291259917,0.02966142472368609,3412,3018,394,FALSE,FALSE,
135,19.53062264661216,0.09567050143918826,0.12037258584971135,0.024702084410523087,3004,1201,1803,FALSE,FALSE,
136,19.53062264661216,0.07460382272108908,0.11608196859805107,0.041478145876962,3312,935,2377,FALSE,FALSE,
137,25.401342038447588,0.1004660897075073,0.11742258401839611,0.016956494310888817,3020,2527,493,FALSE,FALSE,
138,24.93376015505794,0.11754157040981665,0.12323446824211455,0.0056928978322979,3880,3183,697,FALSE,FALSE,
139,19.53062264661216,0.06963295848106762,0.10840206046286241,0.038769101981794785,3031,1017,2014,FALSE,FALSE,
140,19.53062264661216,0.0776886906395194,0.1186270905616228,0.040938399922103394,5400,989,4411,FALSE,FALSE,
141,19.557047327769425,0.0877609877089949,0.11523352069765755,0.027472532988662646,3992,1091,2901,FALSE,FALSE,
142,19.53062264661216,0.07569319427834817,0.09050326348550379,0.014810069207155621,2356,1289,1067,FALSE,FALSE,
