b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
231,5.661712889523027,287.64091794375616,0.07793352684586893,0.1203887224999522,0.04245519565408326,2408,451,1957,FALSE,FALSE,
232,5.893695483748599,362.7433225537648,0.11600407894753008,0.06701173098024299,-0.04899234796728709,3883,2611,1272,FALSE,FALSE,
233,0,0,0.11803616027615843,0.0622646614447237,-0.05577149883143473,5169,2439,2730,TRUE,FALSE,S_cluster unavailable; used robust S
234,6.228819337004976,507.15634914338665,0.12313601579421968,0.08527984671538769,-0.03785616907883199,2395,1236,1159,FALSE,FALSE,
235,5.893695483748599,362.7433225537648,0.11395620399953761,0.07933211698088105,-0.03462408701865656,3376,1653,1723,FALSE,FALSE,
236,0,0,0.11823137234060291,0.10255484492748049,-0.01567652741312242,5450,3252,2198,TRUE,FALSE,S_cluster unavailable; used robust S
237,6.228819337004976,507.15634914338665,0.10369328079054631,0.056413469130882896,-0.04727981165966341,3118,2028,1090,FALSE,FALSE,
238,5.499361342425192,244.53570780046405,0.08298041483121438,0.1118393368043396,0.02885892197312523,2239,298,1941,FALSE,FALSE,
239,6.031531866870764,416.3523374741248,0.12282672636084788,0.08127998140003817,-0.041546744960809706,3109,1941,1168,FALSE,FALSE,
240,3.166224512012111,23.717768951505168,0.12030961179366154,0.09949839000384075,-0.020811221789820783,2986,925,2061,FALSE,FALSE,
241,3.166224512012111,23.717768951505168,0.11887001627202877,0.08432076931224164,-0.03454924695978713,5235,3364,1871,FALSE,FALSE,
242,5.893695483748599,362.7433225537648,0.11723422707533988,0.07842324666771214,-0.038810980407627746,3648,2374,1274,FALSE,FALSE,
243,6.228819337004976,507.15634914338665,0.10794043709497547,0.06217046921364498,-0.04576996788133049,2424,1682,742,FALSE,FALSE,
244,0,0,0.11871974953090444,0.07181193871144,-0.04690781081946445,3621,813,2808,TRUE,FALSE,S_cluster unavailable; used robust S
245,5.893695483748599,362.7433225537648,0.10571473885347829,0.09991936472575702,-0.00579537412772127,2528,1006,1522,FALSE,FALSE,
246,0,0,0.11829031279486918,0.08155672231466189,-0.03673359048020729,3782,1626,2156,TRUE,FALSE,S_cluster unavailable; used robust S
247,6.031531866870764,416.3523374741248,0.12184180968238698,0.09025266444712868,-0.0315891452352583,3597,2898,699,FALSE,FALSE,
248,5.492901229668555,242.9610711962522,0.12145413627452165,0.10372689478212735,-0.017727241492394297,3148,916,2232,FALSE,FALSE,
249,6.228819337004976,507.15634914338665,0.09476293468324987,0.04632045299215145,-0.04844248169109842,2406,946,1460,FALSE,FALSE,
250,5.571330080606137,262.783389986997,0.07102058413491016,0.07798771189882586,0.006967127763915698,2600,444,2156,FALSE,FALSE,
251,6.228819337004976,507.15634914338665,0.10930220365508395,0.09654648620848659,-0.012755717446597356,2518,1363,1155,FALSE,FALSE,
252,6.212866024558282,499.129721333,0.1134330361321126,0.07962223908450645,-0.033810797047606145,2744,1958,786,FALSE,FALSE,
253,5.893695483748599,362.7433225537648,0.11603399297500276,0.08646394673937402,-0.02957004623562874,3457,1409,2048,FALSE,FALSE,
254,5.492901229668555,242.9610711962522,0.12499748604320642,0.12260602694330806,-0.002391459099898352,2996,1296,1700,FALSE,FALSE,
255,0,0,0.11844538255901924,0.07471107993386127,-0.04373430262515797,3671,1626,2045,TRUE,FALSE,S_cluster unavailable; used robust S
256,5.893695483748599,362.7433225537648,0.12363094850728212,0.10961497003005932,-0.014015978477222801,2858,1697,1161,FALSE,FALSE,
257,5.893695483748599,362.7433225537648,0.1179776811915736,0.08149801372514373,-0.036479667466429874,4256,2235,2021,FALSE,FALSE,
258,6.031531866870764,416.3523374741248,0.11740894683819858,0.10240273496497075,-0.015006211873227829,3306,1840,1466,FALSE,FALSE,
259,0,0,0.11840649355680952,0.08471224072848532,-0.033694252828324195,2798,813,1985,TRUE,FALSE,S_cluster unavailable; used robust S
260,5.893695483748599,362.7433225537648,0.11658255364212491,0.09260816237921438,-0.023974391262910538,3166,1759,1407,FALSE,FALSE,
261,6.212866024558282,499.129721333,0.11118103817374597,0.06843263274272093,-0.04274840543102504,3363,1793,1570,FALSE,FALSE,
262,6.228819337004976,507.15634914338665,0.11481103552242677,0.05921607475384724,-0.05559496076857953,3407,1963,1444,FALSE,FALSE,
263,0,0,0.118980613776682,0.09334133541741053,-0.02563927835927146,3597,1626,1971,TRUE,FALSE,S_cluster unavailable; used robust S
264,6.031531866870764,416.3523374741248,0.11718582996095182,0.08667280816205206,-0.030513021798899767,4132,2764,1368,FALSE,FALSE,
265,5.893695483748599,362.7433225537648,0.12327334021968388,0.06783912469088449,-0.05543421552879939,3416,1621,1795,FALSE,FALSE,
266,6.228819337004976,507.15634914338665,0.1138910427490799,0.08278676149402373,-0.031104281255056168,3045,2181,864,FALSE,FALSE,
